"location_id","location_name","process_id","date","poll","unit","source","country","frequency","aggregation_function","threshold","exceedance_allowed_per_year","organization","standard_id","value","exceedance","year","exceedance_this_year","violation","gadm1_id"
"nottingham_gbr.1_1_gb","Nottingham","city_background_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.6,1,2019,1,TRUE,"gbr.1_1"
"nottingham_gbr.1_1_gb","Nottingham","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.6,1,2019,2,TRUE,"gbr.1_1"
"preston_gbr.1_1_gb","Preston","city_background_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,29.4166666666667,1,2019,1,TRUE,"gbr.1_1"
"preston_gbr.1_1_gb","Preston","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,29.4166666666667,1,2019,2,TRUE,"gbr.1_1"
"reading_gbr.1_1_gb","Reading","city_background_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,26.8583333333333,1,2019,1,TRUE,"gbr.1_1"
"reading_gbr.1_1_gb","Reading","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,26.8583333333333,1,2019,2,TRUE,"gbr.1_1"
"st. helens_gbr.1_1_gb","St. Helens","city_day_mad",2019-01-04,"pm10","µg/m3","aurn","GB","24-hour","mean",50,0,"WHO",13,50.000875,1,2019,1,TRUE,"gbr.1_1"
"st. helens_gbr.1_1_gb","St. Helens","city_day_mad",2019-01-04,"pm10","µg/m3","aurn","GB","24-hour","mean",50,35,"UK",31,50.000875,1,2019,1,FALSE,"gbr.1_1"
"stoke on trent_gbr.1_1_gb","Stoke on Trent","city_background_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,30.4166666666667,1,2019,1,TRUE,"gbr.1_1"
"stoke on trent_gbr.1_1_gb","Stoke on Trent","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,30.4166666666667,1,2019,2,TRUE,"gbr.1_1"
"swansea_gbr.4_1_gb","Swansea","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.0833333333333,1,2019,1,TRUE,"gbr.4_1"
"warrington_gbr.1_1_gb","Warrington","city_day_mad",2019-01-04,"pm10","µg/m3","aurn","GB","24-hour","mean",50,0,"WHO",13,50.24225,1,2019,1,TRUE,"gbr.1_1"
"warrington_gbr.1_1_gb","Warrington","city_day_mad",2019-01-04,"pm10","µg/m3","aurn","GB","24-hour","mean",50,35,"UK",31,50.24225,1,2019,1,FALSE,"gbr.1_1"
"warrington_gbr.1_1_gb","Warrington","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,35.5833333333333,1,2019,1,TRUE,"gbr.1_1"
"warwick_gbr.1_1_gb","Warwick","city_background_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,28.1791666666667,1,2019,1,TRUE,"gbr.1_1"
"warwick_gbr.1_1_gb","Warwick","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,28.99375,1,2019,2,TRUE,"gbr.1_1"
"wigan_gbr.1_1_gb","Wigan","city_background_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,36.3291666666667,1,2019,1,TRUE,"gbr.1_1"
"wigan_gbr.1_1_gb","Wigan","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,36.3291666666667,1,2019,2,TRUE,"gbr.1_1"
